# selftest-suite-timings.tsv — one row per suite whose measured cost is at or above the
# threshold below. Its one consumer is tools/run-selftests.sh, which defers every listed suite
# unless --full is passed (the milestone-3 lane runs without it, so the lane stays inside a turn).
#
# A row naming no discovered suite is a HARD ERROR (run-selftests.sh's stale-row posture). A
# suite ABSENT from this file is treated as fast. A row below the threshold is ignored at read
# time, so it has no reason to be here.
#
# THE DEFERRAL RULE SELECTS PURELY ON MEASURED DURATION (#780). It has no visibility into
# whether a suite is the sole producer or consumer of a shared-resource class, so a row here can
# defer every suite that would otherwise exercise that class on a milestone-3 lane — that is what
# happened to the pre-#780 fixture reaper, whose two producing suites were both deferred while a
# lane discovered them. The surviving instance of that blind spot is the
# tools/selftest-cache-inputs.tsv cache: two of its three declaring suites
# (milestone-gate-selftest.sh, check-lane-chain-selftest.sh) are deferred by this table, so a
# milestone-3 lane has exactly one cacheable suite (cost-block-selftest.sh) to actually exercise
# the cache-hit path against.
#
# threshold-seconds	9
#
# suite<TAB>seconds<TAB>measured_at
tools/install-topology-selftest.sh	584	2026-08-20
plugins/dev-pipeline/skills/build/milestone-gate-selftest.sh	212	2026-08-30
plugins/dev-pipeline/skills/build/scenario-liveness-selftest.sh	106	2026-09-07
scripts/check-lane-chain-selftest.sh	67	2026-08-21
plugins/dev-pipeline/skills/run/orchestrate-selftest.sh	58	2026-09-07
plugins/dev-pipeline/skills/build/boundary-evidence-selftest.sh	26	2026-08-21
plugins/dev-pipeline/tools/retro-corpus-selftest.sh	22	2026-08-20
plugins/second-shift/skills/onboard/tools/config-grill-selftest.sh	17	2026-08-20
plugins/dev-pipeline/tools/preflight-selftest.sh	15	2026-08-20
plugins/second-shift/skills/doctor/tools/doctor-selftest.sh	13	2026-08-20
tools/run-selftests-selftest.sh	12	2026-08-21
plugins/dev-pipeline/skills/build/reconcile-selftest.sh	10	2026-08-17
tools/lane-bench-selftest.sh	11	2026-09-07
plugins/dev-pipeline/skills/run/run-selftest.sh	150	2026-09-22
